"Pricing, Delivery_Terms_Quote_Appr","Pricing, Delivery_Terms_Approved",Bureaucratic_Code_0_Approval,Bureaucratic_Code_0_Approved,Opportunity_ID,USD_factor,Total_Taxable_Amount_USD,Family_group_mean,Product_group_mean,Items,Total_Amount_mean,ASP_(converted)_mean,TRF_min,TRF_max,Planned_min_range,Planned_max_range,Territory_TRF_mean,Territory_TRF_count,Territory_TRF_max,target,Account_Name_0,Account_Name_1,Account_Name_2,Account_Name_3,Account_Name_4,Account_Name_5,Account_Name_6,Account_Name_7,Account_Name_8,Account_Name_9,Account_Name_10,Account_Type_0,Account_Type_1,Account_Type_2,Source _0,Source _1,Source _2,Source _3,Last_Modified_By_0,Last_Modified_By_1,Last_Modified_By_2,Last_Modified_By_3,Last_Modified_By_4,Last_Modified_By_5,Billing_Country_0,Billing_Country_1,Billing_Country_2,Billing_Country_3,Billing_Country_4,Billing_Country_5,Billing_Country_6,Region_0,Region_1,Region_2,Delivery_Terms_0,Delivery_Terms_1,Delivery_Terms_2,Delivery_Terms_3,Opportunity_Type_0,Opportunity_Type_1,Opportunity_Type_2,Opportunity_Type_3,Opportunity_Type_4,ASP_Currency_0,ASP_Currency_1,ASP_Currency_2,Bureaucratic_Code_0,Bureaucratic_Code_1,Bureaucratic_Code_2,Account_Owner_0,Account_Owner_1,Account_Owner_2,Account_Owner_3,Account_Owner_4,Account_Owner_5,Total_Amount_Currency_0,Total_Amount_Currency_1,Total_Amount_Currency_2,Quote_Type_0,Quote_Type_1,Opportunity_Owner_0,Opportunity_Owner_1,Opportunity_Owner_2,Opportunity_Owner_3,Opportunity_Owner_4,Opportunity_Owner_5
1,0,0,0,10,0.061686507590753024,35753.49979960045,524.2,450.4,5,2875.9904641582057,0.4862929634590188,0,0,0,0,0.7693538707741548,4999,150,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
1,1,1,1,11,1.0,1621851.0,217.0,16.0,1,1621851.0,0.539,3,3,6,6,2.4981458590852905,809,100,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1
1,1,0,0,12,1.0,221650.0,1345.0,976.0,1,221650.0,0.55,0,0,13,13,2.4981458590852905,809,100,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1
1,0,0,0,13,0.061686507590753024,62483.49726882555,464.3333333333333,402.8333333333333,6,4358.077759141588,0.4773364202698112,0,0,0,0,0.7693538707741548,4999,150,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
1,0,0,0,14,0.061686507590753024,59981.49252094461,464.3333333333333,402.8333333333333,6,4297.3027591415885,0.4773364202698112,0,0,0,0,0.7693538707741548,4999,150,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
1,0,0,0,15,0.061686507590753024,70576.76706473235,391.0,338.2857142857143,7,4128.335640150567,0.47093888942037726,0,0,0,0,0.7693538707741548,4999,150,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
1,0,0,0,16,0.061686507590753024,83834.431276137,389.7142857142857,337.0,7,4648.273903856338,0.47093888942037726,0,0,0,0,0.7693538707741548,4999,150,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
1,0,0,0,17,0.061686507590753024,29979.64268910597,524.2,450.4,5,2789.89641599978,0.4862929634590188,0,0,0,0,0.7693538707741548,4999,150,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
1,0,0,0,18,0.061686507590753024,35575.842657739086,440.1666666666667,378.6666666666667,6,2545.1620921450217,0.4773364202698112,0,0,0,0,0.7693538707741548,4999,150,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
1,1,1,1,19,1.131090909090909,293942.24999999994,419.0,116.0,1,293942.24999999994,0.6221,0,0,4,4,0.47703180212014135,283,60,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1
0,0,0,0,20,1.1310943396226414,116898.59999999999,1345.0,976.0,1,116898.59999999999,0.59948,0,0,11,11,2.01307966706302,1682,81,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,0,0,0,21,1.0,3184974.0,29.0,15.0,1,3184974.0,0.65,5,5,30,30,3.162627551020408,1568,429,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0
1,1,0,0,22,0.008990384615384615,2187.9,1345.0,976.0,1,2187.9,0.70125,0,0,0,0,0.7693538707741548,4999,150,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
0,0,0,0,23,1.131090909090909,242618.99999999997,1345.0,976.0,1,242618.99999999997,0.6221,0,0,4,4,2.5175718849840254,313,35,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1
0,0,0,0,24,1.131090909090909,242618.99999999997,1345.0,976.0,1,242618.99999999997,0.6221,0,0,4,4,2.5175718849840254,313,35,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1
1,1,0,0,25,1.131087378640777,1760636.4750000003,1345.0,127.0,1,1760636.4750000003,0.5825100000000001,3,3,6,6,2.5175718849840254,313,35,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1
1,1,1,1,26,1.131090909090909,621851.1599999999,540.0,47.0,1,621851.1599999999,0.43546999999999997,1,1,53,53,2.01307966706302,1682,81,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,0,0,0,27,1.131090909090909,475906.49999999994,925.6666666666666,678.3333333333334,3,119754.24999999999,0.6221,0,0,3,3,2.5175718849840254,313,35,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1
0,0,0,0,28,1.131090909090909,485237.99999999994,1345.0,976.0,4,121309.49999999999,0.6221,0,0,2,3,2.5175718849840254,313,35,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1
1,1,0,0,29,1.0,3920.0,540.0,442.0,1,3920.0,0.56,0,0,21,21,2.4981458590852905,809,100,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1
1,0,1,0,30,1.0,7695.0,19.0,13.0,1,7695.0,0.57,0,0,89,89,11.838709677419354,31,250,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1
1,1,1,1,31,1.1311020408163264,22479974.4,1345.0,44.0,2,11239987.2,0.55424,20,20,59,61,2.01307966706302,1682,81,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,1,0,0,32,1.1310980392156864,577436.8600000001,1345.0,145.0,1,577436.8600000001,0.57686,1,1,11,11,0.3333333333333333,9,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0
0,0,0,0,33,1.1310925925925923,119104.04999999997,1345.0,976.0,1,119104.04999999997,0.6107899999999999,0,0,3,3,2.5175718849840254,313,35,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1
0,0,0,0,34,1.1310925925925923,412741.3424999999,596.0,82.0,1,412741.3424999999,0.6107899999999999,1,1,29,29,6.142857142857143,21,60,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,0,1,0,35,1.1310882352941174,6354634.679999999,619.0,32.0,1,6354634.679999999,0.38456999999999997,17,17,74,74,2.01307966706302,1682,81,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
0,0,0,0,36,1.1310925925925923,117577.07499999997,549.6666666666666,405.6666666666667,3,39192.35833333332,0.6107899999999999,0,0,39,39,0.1793103448275862,145,7,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,0,0,0,37,0.061686507590753024,37004.502173540925,524.2,450.4,5,2912.455464158206,0.4862929634590188,0,0,0,0,0.7693538707741548,4999,150,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
1,0,0,0,38,0.061686507590753024,71223.24166428344,445.8333333333333,384.3333333333333,6,4746.024451110765,0.4773364202698112,0,0,0,0,0.7693538707741548,4999,150,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
1,0,0,0,39,0.061686507590753024,35272.34504039258,524.2,450.4,5,2779.7595123166307,0.4862929634590188,0,0,0,0,0.7693538707741548,4999,150,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
1,0,0,0,40,0.061686507590753024,63734.49964276602,464.3333333333333,402.8333333333333,6,4388.465259141588,0.4773364202698112,0,0,0,0,0.7693538707741548,4999,150,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
1,0,0,0,41,0.018134408371177357,367.76580176747683,1345.0,976.0,1,367.76580176747683,0.0,0,0,0,0,0.7693538707741548,4999,150,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
1,0,0,0,42,0.061686507590753024,63734.49964276602,464.3333333333333,402.8333333333333,6,4388.465259141588,0.4773364202698112,0,0,0,0,0.7693538707741548,4999,150,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
1,0,0,0,43,0.061686507590753024,70453.39404955084,409.0,356.2857142857143,7,4110.710923696066,0.47093888942037726,0,0,0,0,0.7693538707741548,4999,150,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
1,0,0,0,44,0.061686507590753024,29017.333170690225,524.2,450.4,5,2597.4345123166304,0.4862929634590188,0,0,0,0,0.7693538707741548,4999,150,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
1,1,1,1,45,1.1311020408163264,11095884.799999999,1345.0,44.0,1,11095884.799999999,0.55424,20,20,60,60,2.01307966706302,1682,81,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1,1,1,1,46,1.1311,2382944.925,596.0,88.0,2,1191472.4625,0.56555,1,3,8,9,2.5175718849840254,313,35,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1
1,1,1,1,47,1.0,0.0,204.0,65.0,1,629145.0,0.66,1,1,4,4,4.557894736842106,760,128,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0
1,1,0,0,49,1.0,109760.0,540.0,442.0,1,109760.0,0.56,0,0,12,12,2.4981458590852905,809,100,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1
1,0,0,0,50,1.1310961538461537,344079.44999999995,1345.0,145.0,1,344079.44999999995,0.58817,1,1,29,29,0.7368421052631579,285,98,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1
1,0,1,0,51,1.131090909090909,566110.9999999999,421.0,50.0,1,566110.9999999999,0.6221,1,1,29,29,0.7693538707741548,4999,150,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0
1,1,0,0,52,1.0,17550.0,1345.0,976.0,1,17550.0,0.54,0,0,14,14,2.4981458590852905,809,100,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1
1,0,1,0,53,1.0,13438632.9,311.5,59.0,2,6719316.449999999,0.535,13,13,29,29,2.4981458590852905,809,100,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1
0,0,0,0,54,0.008990416666666667,115544.835,217.0,158.0,1,115544.835,0.64731,0,0,0,0,0.5095447870778267,681,36,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
0,0,0,0,55,0.008990441176470588,265020.225,217.0,158.0,1,265020.225,0.61135,0,0,7,7,0.5095447870778267,681,36,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
0,0,0,0,56,0.008975616438356164,304421.7642,217.0,158.0,1,304421.7642,0.65522,0,0,35,35,0.5095447870778267,681,36,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
0,0,0,0,57,0.008990416666666667,336730.662,217.0,33.0,1,336730.662,0.64731,1,1,15,15,0.5095447870778267,681,36,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
0,0,0,0,58,0.008990405405405405,341626.415,1345.0,145.0,1,341626.415,0.6652899999999999,1,1,7,7,0.5095447870778267,681,36,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0
0,0,0,0,59,0.008990428571428573,259988.80960000004,110.0,80.5,2,139437.54216026296,0.5309418521618867,0,0,0,0,0.5095447870778267,681,36,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1
0,0,0,0,61,1.1310857142857142,583428.15,970.5,266.5,2,291714.075,0.59382,0,1,31,31,2.01307966706302,1682,81,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
